ORF,Top Hit,E-value,Identity (%),Function
unnamed protein product,"homoserine dehydrogenase, partial [Escherichia coli MS 200-1]",0.0,100.0,"homoserine dehydrogenase, partial [Escherichia coli MS 200-1]"
unnamed protein product,"MULTISPECIES: homoserine kinase [Enterobacteriaceae] >ref|NP_414544.1| homoserine kinase [Escherichia coli str. K-12 substr. MG1655] >sp|B1XBC8.1| RecName: Full=Homoserine kinase; Short=HK; Short=HSK [Escherichia coli str. K-12 substr. DH10B] >sp|C4ZPT0.1| RecName: Full=Homoserine kinase; Short=HK; Short=HSK [Escherichia coli BW2952] >sp|P00547.2| RecName: Full=Homoserine kinase; Short=HK; Short=HSK [Escherichia coli K-12] >gb|AFG38894.1| Homoserine kinase [Escherichia coli P12b] >gb|AGX32192.1| homoserine kinase [synthetic Escherichia coli C321.deltaA] >gb|EEZ5668240.1| homoserine kinase [Escherichia coli O2] >gb|EEZ5694245.1| homoserine kinase [Escherichia coli O65] >gb|EEZ5785067.1| homoserine kinase [Escherichia coli O107] >gb|EEZ5978335.1| homoserine kinase [Escherichia coli O19] >gb|EEZ8621581.1| homoserine kinase [Escherichia coli O17] >gb|EEZ9757968.1| homoserine kinase [Escherichia coli O25] >gb|EFA4117787.1| homoserine kinase [Escherichia coli O14] >gb|EFN8425646.1| homoserine kinase [Escherichia coli O113] >gb|EFN8445080.1| homoserine kinase [Escherichia coli O5] >gb|EFQ02708.1| homoserine kinase [Escherichia coli 1827-70] >gb|EFX6125713.1| homoserine kinase [Shigella boydii] >gb|EHV50452.1| homoserine kinase [Escherichia coli DEC6A] >gb|EHV65728.1| homoserine kinase [Escherichia coli DEC6B] >gb|EIH0320643.1| homoserine kinase [Escherichia coli O112] >gb|EJT8145547.1| homoserine kinase [Escherichia coli O102:H10] >gb|ENA0320969.1| homoserine kinase [Escherichia coli :H21] >gb|ENA0338040.1| homoserine kinase [Escherichia coli O12:H48] >gb|ENF6664879.1| homoserine kinase [Escherichia coli :H25] >gb|ENY4301872.1| homoserine kinase [Escherichia coli O45:H4] >gb|EOW5482387.1| homoserine kinase [Escherichia coli H32] >gb|EOW5555518.1| homoserine kinase [Escherichia coli O45:H45] >gb|EOW5585007.1| homoserine kinase [Escherichia coli H10] >gb|EOW5663533.1| homoserine kinase [Escherichia coli O113:H4] >gb|EOW5691810.1| homoserine kinase [Escherichia coli O99:H33] >gb|EOW5758421.1| homoserine kinase [Escherichia coli O2,50:H19] >gb|EOW5781094.1| homoserine kinase [Escherichia coli O109:H4] >gb|EOW5809814.1| homoserine kinase [Escherichia coli O162:H33] >gb|EOW5831886.1| homoserine kinase [Escherichia coli O8,155:H20] >gb|EPA7365614.1| homoserine kinase [Escherichia coli O8:H9] >gb|EPC6747823.1| homoserine kinase [Escherichia coli O21,81:H5,27] >gb|EPD0861524.1| homoserine kinase [Escherichia coli O8,13,108,129,135:H11,20] >gb|EQE6746847.1| homoserine kinase [Escherichia coli O107:H10] >gb|EQE6765992.1| homoserine kinase [Escherichia coli O92:H33] >gb|EST87044.1| homoserine kinase [Escherichia coli ECA-0157] >gb|KEO02850.1| homoserine kinase [Escherichia coli 2-222-05_S3_C2] >gb|MEE6844000.1| homoserine kinase [Escherichia coli O74:H39] >gb|MEE6952746.1| homoserine kinase [Escherichia coli O87:H39] >gb|MEE7221064.1| homoserine kinase [Escherichia coli O8:H20] >gb|MEE7354253.1| homoserine kinase [Escherichia coli O16:H48] >gb|OSK33517.1| homoserine kinase [Escherichia coli E267] >gb|OSL81566.1| homoserine kinase [Escherichia coli TA008] >emb|CDK53994.1| Homoserine kinase [Escherichia coli IS5] >dbj|BAL37323.1| homoserine kinase [Escherichia coli str. K-12 substr. MDS42] >tpg|HAJ6402747.1| homoserine kinase [Escherichia coli HVH 101 (4-6859844)] >tpg|HAJ6413221.1| homoserine kinase [Escherichia coli HVH 54 (4-2723514)] >tpg|HCA6861880.1| homoserine kinase [Escherichia coli O21:H2] >tpg|HCB3975932.1| homoserine kinase [Escherichia coli O25b:H4-ST131] >tpg|HDQ6467931.1| homoserine kinase [Escherichia coli O11 str. Bi632-42] >tpg|HDR9860209.1| homoserine kinase [Escherichia coli O10 str. Bi8337-41]",0.0,100.0,"MULTISPECIES: homoserine kinase [Enterobacteriaceae] >ref|NP_414544.1| homoserine kinase [Escherichia coli str. K-12 substr. MG1655] >sp|B1XBC8.1| RecName: Full=Homoserine kinase; Short=HK; Short=HSK [Escherichia coli str. K-12 substr. DH10B] >sp|C4ZPT0.1| RecName: Full=Homoserine kinase; Short=HK; Short=HSK [Escherichia coli BW2952] >sp|P00547.2| RecName: Full=Homoserine kinase; Short=HK; Short=HSK [Escherichia coli K-12] >gb|AFG38894.1| Homoserine kinase [Escherichia coli P12b] >gb|AGX32192.1| homoserine kinase [synthetic Escherichia coli C321.deltaA] >gb|EEZ5668240.1| homoserine kinase [Escherichia coli O2] >gb|EEZ5694245.1| homoserine kinase [Escherichia coli O65] >gb|EEZ5785067.1| homoserine kinase [Escherichia coli O107] >gb|EEZ5978335.1| homoserine kinase [Escherichia coli O19] >gb|EEZ8621581.1| homoserine kinase [Escherichia coli O17] >gb|EEZ9757968.1| homoserine kinase [Escherichia coli O25] >gb|EFA4117787.1| homoserine kinase [Escherichia coli O14] >gb|EFN8425646.1| homoserine kinase [Escherichia coli O113] >gb|EFN8445080.1| homoserine kinase [Escherichia coli O5] >gb|EFQ02708.1| homoserine kinase [Escherichia coli 1827-70] >gb|EFX6125713.1| homoserine kinase [Shigella boydii] >gb|EHV50452.1| homoserine kinase [Escherichia coli DEC6A] >gb|EHV65728.1| homoserine kinase [Escherichia coli DEC6B] >gb|EIH0320643.1| homoserine kinase [Escherichia coli O112] >gb|EJT8145547.1| homoserine kinase [Escherichia coli O102:H10] >gb|ENA0320969.1| homoserine kinase [Escherichia coli :H21] >gb|ENA0338040.1| homoserine kinase [Escherichia coli O12:H48] >gb|ENF6664879.1| homoserine kinase [Escherichia coli :H25] >gb|ENY4301872.1| homoserine kinase [Escherichia coli O45:H4] >gb|EOW5482387.1| homoserine kinase [Escherichia coli H32] >gb|EOW5555518.1| homoserine kinase [Escherichia coli O45:H45] >gb|EOW5585007.1| homoserine kinase [Escherichia coli H10] >gb|EOW5663533.1| homoserine kinase [Escherichia coli O113:H4] >gb|EOW5691810.1| homoserine kinase [Escherichia coli O99:H33] >gb|EOW5758421.1| homoserine kinase [Escherichia coli O2,50:H19] >gb|EOW5781094.1| homoserine kinase [Escherichia coli O109:H4] >gb|EOW5809814.1| homoserine kinase [Escherichia coli O162:H33] >gb|EOW5831886.1| homoserine kinase [Escherichia coli O8,155:H20] >gb|EPA7365614.1| homoserine kinase [Escherichia coli O8:H9] >gb|EPC6747823.1| homoserine kinase [Escherichia coli O21,81:H5,27] >gb|EPD0861524.1| homoserine kinase [Escherichia coli O8,13,108,129,135:H11,20] >gb|EQE6746847.1| homoserine kinase [Escherichia coli O107:H10] >gb|EQE6765992.1| homoserine kinase [Escherichia coli O92:H33] >gb|EST87044.1| homoserine kinase [Escherichia coli ECA-0157] >gb|KEO02850.1| homoserine kinase [Escherichia coli 2-222-05_S3_C2] >gb|MEE6844000.1| homoserine kinase [Escherichia coli O74:H39] >gb|MEE6952746.1| homoserine kinase [Escherichia coli O87:H39] >gb|MEE7221064.1| homoserine kinase [Escherichia coli O8:H20] >gb|MEE7354253.1| homoserine kinase [Escherichia coli O16:H48] >gb|OSK33517.1| homoserine kinase [Escherichia coli E267] >gb|OSL81566.1| homoserine kinase [Escherichia coli TA008] >emb|CDK53994.1| Homoserine kinase [Escherichia coli IS5] >dbj|BAL37323.1| homoserine kinase [Escherichia coli str. K-12 substr. MDS42] >tpg|HAJ6402747.1| homoserine kinase [Escherichia coli HVH 101 (4-6859844)] >tpg|HAJ6413221.1| homoserine kinase [Escherichia coli HVH 54 (4-2723514)] >tpg|HCA6861880.1| homoserine kinase [Escherichia coli O21:H2] >tpg|HCB3975932.1| homoserine kinase [Escherichia coli O25b:H4-ST131] >tpg|HDQ6467931.1| homoserine kinase [Escherichia coli O11 str. Bi632-42] >tpg|HDR9860209.1| homoserine kinase [Escherichia coli O10 str. Bi8337-41]"
unnamed protein product,"MULTISPECIES: threonine synthase [Enterobacteriaceae] >ref|NP_414545.1| threonine synthase [Escherichia coli str. K-12 substr. MG1655] >sp|P00934.1| RecName: Full=Threonine synthase; Short=TS [Escherichia coli K-12] >pdb|1VB3|A Chain A, Threonine synthase [Escherichia coli] >gb|AFG38895.1| Threonine synthase [Escherichia coli P12b] >gb|AGX32193.1| threonine synthase [synthetic Escherichia coli C321.deltaA] >gb|EEZ5785068.1| threonine synthase [Escherichia coli O107] >gb|EEZ8621582.1| threonine synthase [Escherichia coli O17] >gb|EEZ9757969.1| threonine synthase [Escherichia coli O25] >gb|EFA8201214.1| threonine synthase [Escherichia coli O157] >gb|EFB2703977.1| threonine synthase [Escherichia coli O157:H7] >gb|EFN8661609.1| threonine synthase [Escherichia coli O2] >gb|EFQ02709.1| threonine synthase [Escherichia coli 1827-70] >gb|EJT2826498.1| threonine synthase [Shigella boydii] >gb|ENA0338041.1| threonine synthase [Escherichia coli O12:H48] >gb|EOW5555519.1| threonine synthase [Escherichia coli O45:H45] >gb|EOW5653383.1| threonine synthase [Escherichia coli H32] >gb|EOW5663534.1| threonine synthase [Escherichia coli O113:H4] >gb|EOW5686268.1| threonine synthase [Escherichia coli O187:H4] >gb|EOW5758422.1| threonine synthase [Escherichia coli O2,50:H19] >gb|EOW5809815.1| threonine synthase [Escherichia coli O162:H33] >gb|EOW5831887.1| threonine synthase [Escherichia coli O8,155:H20] >gb|EPA7365613.1| threonine synthase [Escherichia coli O8:H9] >gb|EPD0861525.1| threonine synthase [Escherichia coli O8,13,108,129,135:H11,20] >gb|EQE6746848.1| threonine synthase [Escherichia coli O107:H10] >gb|EST87043.1| threonine synthase [Escherichia coli ECA-0157] >gb|EYD94106.1| threonine synthase [Escherichia coli 1-110-08_S4_C2] >gb|MEE7221065.1| threonine synthase [Escherichia coli O8:H20] >gb|OSK33518.1| threonine synthase [Escherichia coli E267] >emb|CDK53995.1| Threonine synthase [Escherichia coli IS5] >dbj|BAL37324.1| threonine synthase [Escherichia coli str. K-12 substr. MDS42] >tpg|HAJ6413222.1| threonine synthase [Escherichia coli HVH 54 (4-2723514)] >tpg|HCB3975933.1| threonine synthase [Escherichia coli O25b:H4-ST131] >tpg|HDQ6467930.1| threonine synthase [Escherichia coli O11 str. Bi632-42] >tpg|HDS1991157.1| threonine synthase [Escherichia coli Bal225]",0.0,100.0,"MULTISPECIES: threonine synthase [Enterobacteriaceae] >ref|NP_414545.1| threonine synthase [Escherichia coli str. K-12 substr. MG1655] >sp|P00934.1| RecName: Full=Threonine synthase; Short=TS [Escherichia coli K-12] >pdb|1VB3|A Chain A, Threonine synthase [Escherichia coli] >gb|AFG38895.1| Threonine synthase [Escherichia coli P12b] >gb|AGX32193.1| threonine synthase [synthetic Escherichia coli C321.deltaA] >gb|EEZ5785068.1| threonine synthase [Escherichia coli O107] >gb|EEZ8621582.1| threonine synthase [Escherichia coli O17] >gb|EEZ9757969.1| threonine synthase [Escherichia coli O25] >gb|EFA8201214.1| threonine synthase [Escherichia coli O157] >gb|EFB2703977.1| threonine synthase [Escherichia coli O157:H7] >gb|EFN8661609.1| threonine synthase [Escherichia coli O2] >gb|EFQ02709.1| threonine synthase [Escherichia coli 1827-70] >gb|EJT2826498.1| threonine synthase [Shigella boydii] >gb|ENA0338041.1| threonine synthase [Escherichia coli O12:H48] >gb|EOW5555519.1| threonine synthase [Escherichia coli O45:H45] >gb|EOW5653383.1| threonine synthase [Escherichia coli H32] >gb|EOW5663534.1| threonine synthase [Escherichia coli O113:H4] >gb|EOW5686268.1| threonine synthase [Escherichia coli O187:H4] >gb|EOW5758422.1| threonine synthase [Escherichia coli O2,50:H19] >gb|EOW5809815.1| threonine synthase [Escherichia coli O162:H33] >gb|EOW5831887.1| threonine synthase [Escherichia coli O8,155:H20] >gb|EPA7365613.1| threonine synthase [Escherichia coli O8:H9] >gb|EPD0861525.1| threonine synthase [Escherichia coli O8,13,108,129,135:H11,20] >gb|EQE6746848.1| threonine synthase [Escherichia coli O107:H10] >gb|EST87043.1| threonine synthase [Escherichia coli ECA-0157] >gb|EYD94106.1| threonine synthase [Escherichia coli 1-110-08_S4_C2] >gb|MEE7221065.1| threonine synthase [Escherichia coli O8:H20] >gb|OSK33518.1| threonine synthase [Escherichia coli E267] >emb|CDK53995.1| Threonine synthase [Escherichia coli IS5] >dbj|BAL37324.1| threonine synthase [Escherichia coli str. K-12 substr. MDS42] >tpg|HAJ6413222.1| threonine synthase [Escherichia coli HVH 54 (4-2723514)] >tpg|HCB3975933.1| threonine synthase [Escherichia coli O25b:H4-ST131] >tpg|HDQ6467930.1| threonine synthase [Escherichia coli O11 str. Bi632-42] >tpg|HDS1991157.1| threonine synthase [Escherichia coli Bal225]"
unnamed protein product,"MULTISPECIES: DUF2502 domain-containing protein [Enterobacteriaceae] >ref|NP_414546.1| DUF2502 domain-containing protein YaaX [Escherichia coli str. K-12 substr. MG1655] >sp|P75616.1| RecName: Full=Uncharacterized protein YaaX; Flags: Precursor [Escherichia coli K-12] >gb|AGX32194.1| yaaX [synthetic Escherichia coli C321.deltaA] >gb|EEZ5785069.1| DUF2502 domain-containing protein [Escherichia coli O107] >gb|EEZ8621583.1| DUF2502 domain-containing protein [Escherichia coli O17] >gb|EEZ9757970.1| DUF2502 domain-containing protein [Escherichia coli O25] >gb|EFA8201215.1| DUF2502 domain-containing protein [Escherichia coli O157] >gb|EFB2703976.1| DUF2502 domain-containing protein [Escherichia coli O157:H7] >gb|EFL5749652.1| DUF2502 domain-containing protein [Escherichia coli P12b] >gb|EFN8661610.1| DUF2502 domain-containing protein [Escherichia coli O2] >gb|EGU25837.1| hypothetical protein IAE_16062 [Escherichia coli XH140A] >gb|EJT2826499.1| DUF2502 domain-containing protein [Shigella boydii] >gb|ENA0320971.1| DUF2502 domain-containing protein [Escherichia coli :H21] >gb|ENA0338042.1| DUF2502 domain-containing protein [Escherichia coli O12:H48] >gb|EOW5555520.1| DUF2502 domain-containing protein [Escherichia coli O45:H45] >gb|EOW5653384.1| DUF2502 domain-containing protein [Escherichia coli H32] >gb|EOW5663535.1| DUF2502 domain-containing protein [Escherichia coli O113:H4] >gb|EOW5686269.1| DUF2502 domain-containing protein [Escherichia coli O187:H4] >gb|EOW5809816.1| DUF2502 domain-containing protein [Escherichia coli O162:H33] >gb|EOW5831888.1| DUF2502 domain-containing protein [Escherichia coli O8,155:H20] >gb|EPA7365612.1| DUF2502 domain-containing protein [Escherichia coli O8:H9] >gb|EQE6746849.1| DUF2502 domain-containing protein [Escherichia coli O107:H10] >gb|EST87042.1| hypothetical protein ECA0157_07569 [Escherichia coli ECA-0157] >gb|EYD94107.1| hypothetical protein AD08_4831 [Escherichia coli 1-110-08_S4_C2] >dbj|BAL37325.1| predicted protein [Escherichia coli str. K-12 substr. MDS42] >tpg|HAJ6413223.1| DUF2502 domain-containing protein [Escherichia coli HVH 54 (4-2723514)] >tpg|HCB3975934.1| DUF2502 domain-containing protein [Escherichia coli O25b:H4-ST131] >tpg|HDS1991156.1| DUF2502 domain-containing protein [Escherichia coli Bal225]",3.03284e-63,100.0,"MULTISPECIES: DUF2502 domain-containing protein [Enterobacteriaceae] >ref|NP_414546.1| DUF2502 domain-containing protein YaaX [Escherichia coli str. K-12 substr. MG1655] >sp|P75616.1| RecName: Full=Uncharacterized protein YaaX; Flags: Precursor [Escherichia coli K-12] >gb|AGX32194.1| yaaX [synthetic Escherichia coli C321.deltaA] >gb|EEZ5785069.1| DUF2502 domain-containing protein [Escherichia coli O107] >gb|EEZ8621583.1| DUF2502 domain-containing protein [Escherichia coli O17] >gb|EEZ9757970.1| DUF2502 domain-containing protein [Escherichia coli O25] >gb|EFA8201215.1| DUF2502 domain-containing protein [Escherichia coli O157] >gb|EFB2703976.1| DUF2502 domain-containing protein [Escherichia coli O157:H7] >gb|EFL5749652.1| DUF2502 domain-containing protein [Escherichia coli P12b] >gb|EFN8661610.1| DUF2502 domain-containing protein [Escherichia coli O2] >gb|EGU25837.1| hypothetical protein IAE_16062 [Escherichia coli XH140A] >gb|EJT2826499.1| DUF2502 domain-containing protein [Shigella boydii] >gb|ENA0320971.1| DUF2502 domain-containing protein [Escherichia coli :H21] >gb|ENA0338042.1| DUF2502 domain-containing protein [Escherichia coli O12:H48] >gb|EOW5555520.1| DUF2502 domain-containing protein [Escherichia coli O45:H45] >gb|EOW5653384.1| DUF2502 domain-containing protein [Escherichia coli H32] >gb|EOW5663535.1| DUF2502 domain-containing protein [Escherichia coli O113:H4] >gb|EOW5686269.1| DUF2502 domain-containing protein [Escherichia coli O187:H4] >gb|EOW5809816.1| DUF2502 domain-containing protein [Escherichia coli O162:H33] >gb|EOW5831888.1| DUF2502 domain-containing protein [Escherichia coli O8,155:H20] >gb|EPA7365612.1| DUF2502 domain-containing protein [Escherichia coli O8:H9] >gb|EQE6746849.1| DUF2502 domain-containing protein [Escherichia coli O107:H10] >gb|EST87042.1| hypothetical protein ECA0157_07569 [Escherichia coli ECA-0157] >gb|EYD94107.1| hypothetical protein AD08_4831 [Escherichia coli 1-110-08_S4_C2] >dbj|BAL37325.1| predicted protein [Escherichia coli str. K-12 substr. MDS42] >tpg|HAJ6413223.1| DUF2502 domain-containing protein [Escherichia coli HVH 54 (4-2723514)] >tpg|HCB3975934.1| DUF2502 domain-containing protein [Escherichia coli O25b:H4-ST131] >tpg|HDS1991156.1| DUF2502 domain-containing protein [Escherichia coli Bal225]"
